N,P,AVERAGE CONNECTIVITY
9,0.8,0.8904761904761904
9,0.9,0.8298941798941798
9,1.0,1.0
10,0.1,0.0
10,0.2,0.0
10,0.30000000000000004,0.15
10,0.4,0.2833333333333333
10,0.5,0.4766666666666667
10,0.6000000000000001,0.5571428571428572
10,0.7000000000000001,0.7724603174603174
10,0.8,0.8434126984126984
10,0.9,0.9428571428571428
10,1.0,1.0
11,0.1,0.13636363636363635
11,0.2,0.0
11,0.30000000000000004,0.07575757575757575
11,0.4,0.5316017316017315
11,0.5,0.5545454545454546
11,0.6000000000000001,0.6127705627705627
11,0.7000000000000001,0.7541847041847042
11,0.8,0.8577922077922079
11,0.9,0.9054834054834057
11,1.0,1.0
12,0.1,0.0
12,0.2,0.0
12,0.30000000000000004,0.08333333333333333
12,0.4,0.35873015873015873
12,0.5,0.6402116402116402
12,0.6000000000000001,0.593121693121693
12,0.7000000000000001,0.6209656084656084
12,0.8,0.9125120250120252
12,0.9,0.8768939393939394
12,1.0,1.0
13,0.1,0.0
13,0.2,0.0
13,0.30000000000000004,0.317948717948718
13,0.4,0.506043956043956
13,0.5,0.5995115995115995
13,0.6000000000000001,0.6371184371184371
13,0.7000000000000001,0.6803363303363305
13,0.8,0.8942890442890442
13,0.9,0.8771561771561772
13,1.0,1.0
14,0.1,0.0
14,0.2,0.16666666666666666
14,0.30000000000000004,0.31734693877551023
14,0.4,0.42431972789115646
14,0.5,0.3491496598639456
14,0.6000000000000001,0.6396825396825397
14,0.7000000000000001,0.68997113997114
14,0.8,0.8552308802308802
14,0.9,0.9216283716283716
14,1.0,1.0
15,0.1,0.05555555555555555
15,0.2,0.11555555555555555
15,0.30000000000000004,0.3081481481481481
15,0.4,0.43343915343915346
15,0.5,0.4403703703703704
15,0.6000000000000001,0.5407551707551707
15,0.7000000000000001,0.6362818662818663
15,0.8,0.8267306767306767
15,0.9,0.8485606985606986
15,1.0,1.0
16,0.1,0.041666666666666664
16,0.2,0.10625
16,0.30000000000000004,0.2895833333333333
16,0.4,0.4371031746031746
16,0.5,0.46808261183261196
16,0.6000000000000001,0.6280823343323343
16,0.7000000000000001,0.7679341491841493
16,0.8,0.8243499555999557
16,0.9,0.9311792374292376
16,1.0,1.0
17,0.1,0.0
17,0.2,0.1450980392156863
17,0.30000000000000004,0.38753501400560225
17,0.4,0.2843137254901961
17,0.5,0.5356421356421356
17,0.6000000000000001,0.6205826852885676
17,0.7000000000000001,0.6861830979478039
17,0.8,0.7258571493865611
17,0.9,0.911333764274941
17,1.0,1.0
18,0.1,0.2203703703703704
18,0.2,0.15925925925925927
18,0.30000000000000004,0.23280423280423282
18,0.4,0.41428571428571437
18,0.5,0.6018678852012185
18,0.6000000000000001,0.5674378091044757
18,0.7000000000000001,0.6570962987629654
18,0.8,0.7808140933140936
18,0.9,0.9216772606478489
18,1.0,1.0
19,0.1,0.09523809523809523
19,0.2,0.19598997493734335
19,0.30000000000000004,0.3506683375104427
19,0.4,0.4252501884080831
19,0.5,0.5608025015919754
19,0.6000000000000001,0.6315447710184552
19,0.7000000000000001,0.6238810896705633
19,0.8,0.8475483408919943
19,0.9,0.8809578622272122
19,1.0,1.0
20,0.1,0.03833333333333333
20,0.2,0.19833333333333336
20,0.30000000000000004,0.4445526695526696
20,0.4,0.40987012987012983
20,0.5,0.6082463369963368
20,0.6000000000000001,0.5620781995781996
20,0.7000000000000001,0.7576615223441848
20,0.8,0.8135955466102527
20,0.9,0.8908761487050961
20,1.0,1.0
21,0.1,0.0
21,0.2,0.1807634164777022
21,0.30000000000000004,0.33940768226482504
21,0.4,0.34592867450010306
21,0.5,0.5296061081775366
21,0.6000000000000001,0.6153233010375866
21,0.7000000000000001,0.7212126911043317
21,0.8,0.7736001058093054
21,0.9,0.9046401016546971
